 ;Label;Area;Perim.;Major;Minor;Angle;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;Group;AR2;Equivalent Diameter;Circ sqrt
301;210902_#6_100_10_1um_i004.tif:0290-0085;1587.403;300.374;78.95;25.6;83.392;0.221;94.29;85;271;91.507;36.752;3.084;0.324;0.604;0;0.389776222;44.95713818;0.470203863
301;210902_#4_100_30_1um_i002.tif:0324-2245;3839.301;577.748;94.398;51.785;40.987;0.145;124.543;2229;343;44.193;69.939;1.823;0.549;0.639;0;0.561565082;69.91673517;0.380182885
302;210902_#6_100_10_1um_i004.tif:0206-0026;787.549;201.903;43.698;22.947;128.182;0.243;56.672;16;202;156.801;35.079;1.904;0.525;0.526;0;0.618982919;31.66604696;0.492720864
302;210902_#4_100_30_1um_i002.tif:0241-1967;1427.433;351.788;59.541;30.525;25.28;0.145;98.846;1948;244;17.526;58.415;1.951;0.513;0.384;0;0.590969791;42.63172695;0.380716569
303;210902_#6_100_10_1um_i004.tif:0242-0229;338.4;78.876;28.008;15.384;122.574;0.684;30.278;226;237;124.992;18.424;1.821;0.549;0.821;0;0.608494617;20.7572701;0.826751956
303;210902_#4_100_30_1um_i002.tif:0356-1927;1888.887;310.897;65.875;36.508;165.103;0.246;88.917;1911;353;157.011;48.303;1.804;0.554;0.632;0;0.543236951;49.04085668;0.49555446
304;210902_#6_100_10_1um_i004.tif:0563-0040;406.08;82.986;26.325;19.641;72.704;0.741;30.682;38;569;75.964;22.801;1.34;0.746;0.786;0;0.7431393;22.73845013;0.860807219
304;210902_#4_100_30_1um_i002.tif:0363-1968;1581.251;297.467;73.051;27.56;40.969;0.225;89.435;1953;377;33.69;40.813;2.651;0.377;0.542;0;0.456342595;44.86993763;0.473877998
305;210902_#6_100_10_1um_i004.tif:0504-0035;412.233;101.979;31.525;16.65;11.481;0.498;37.944;28;505;11.31;22.152;1.893;0.528;0.67;0;0.583807717;22.91007109;0.705773846
305;210902_#4_100_30_1um_i002.tif:0390-2058;4829.89;816.079;96.737;63.57;147.732;0.091;160.082;2027;380;167.471;108.417;1.522;0.657;0.398;0;0.677259155;78.41942964;0.301884872
306;210902_#6_100_10_1um_i004.tif:0604-0115;239.956;78.876;26.685;11.449;86.701;0.485;31.376;114;610;71.565;14.883;2.331;0.429;0.709;0;0.474343447;17.47917241;0.696186922
306;210902_#4_100_30_1um_i002.tif:0501-2201;1292.073;425.455;53.349;30.837;57.974;0.09;76.413;2195;514;54.246;45.842;1.73;0.578;0.496;0;0.599924097;40.56005964;0.29949862
307;210902_#6_100_10_1um_i004.tif:0602-0204;276.873;78.025;23.606;14.934;12.193;0.572;27.732;199;603;10.305;18.424;1.581;0.633;0.726;0;0.664358863;18.7756665;0.755982005
307;210902_#4_100_30_1um_i002.tif:0528-2169;1045.963;174.441;57.583;23.128;52.403;0.432;62.16;2164;539;61.39;29.635;2.49;0.402;0.728;0;0.476753539;36.49330697;0.657225681
308;210902_#6_100_10_1um_i004.tif:0794-0203;196.887;53.47;20.181;12.422;147.609;0.865;22.186;199;793;153.435;14.032;1.625;0.616;0.865;0;0.632470928;15.83301343;0.93025769
308;210902_#4_100_30_1um_i002.tif:0560-2057;1002.894;181.457;59.436;21.484;105.18;0.383;64.397;2051;548;105.642;28.239;2.767;0.361;0.706;0;0.438514217;35.73407757;0.618669523
309;210902_#6_100_10_1um_i004.tif:0898-0040;1009.047;271.708;50.273;25.555;158.283;0.172;70.595;27;893;161.565;39.91;1.967;0.508;0.52;0;0.565337488;35.84352861;0.414436697
309;210902_#4_100_30_1um_i002.tif:0558-2028;178.429;63.994;20.611;11.023;100.405;0.548;25.296;2026;553;101.31;14.883;1.87;0.535;0.707;0;0.58835389;15.07258633;0.739943221
310;210902_#6_100_10_1um_i004.tif:1333-0184;1095.185;183.159;45.821;30.432;59.424;0.41;52.619;179;1344;81.87;40.029;1.506;0.664;0.668;0;0.760732815;37.3421056;0.640501884
310;210902_#4_100_30_1um_i002.tif:0333-1708;479.913;108.393;35.434;17.245;123.249;0.513;38.746;1703;328;129.806;22.747;2.055;0.487;0.726;0;0.587079957;24.71930844;0.716448459
311;210902_#6_100_10_1um_i004.tif:1434-0099;1249.003;224.652;50.293;31.62;7.032;0.311;61.011;87;1438;26.565;39.688;1.591;0.629;0.672;0;0.650505647;39.87831505;0.557668846
311;210902_#4_100_30_1um_i002.tif:0168-1465;1501.265;298.92;50.991;37.486;14.045;0.211;65.908;1453;176;19.799;46.769;1.36;0.735;0.631;0;0.709610366;43.72036099;0.459492723
312;210902_#6_100_10_1um_i004.tif:1424-0232;313.789;106.94;32.566;12.268;160.584;0.345;41.58;224;1420;162.646;18.532;2.655;0.377;0.626;0;0.445695046;19.98821061;0.587196705
312;210902_#4_100_30_1um_i002.tif:0280-1247;1175.171;257.677;71.812;20.836;96.431;0.222;76.09;1240;266;109.026;31.283;3.447;0.29;0.591;0;0.411131555;38.68170354;0.471606529
313;210902_#6_100_10_1um_i004.tif:1424-0439;332.247;85.892;30.325;13.95;2.153;0.566;33.738;433;1426;17.103;19.844;2.174;0.46;0.72;0;0.588179501;20.56769358;0.752285603
313;210902_#4_100_30_1um_i002.tif:0756-1500;1242.851;302.678;70.995;22.29;133.253;0.17;100.114;1486;742;131.987;35.541;3.185;0.314;0.487;0;0.355005294;39.77998292;0.412889282
314;210902_#6_100_10_1um_i004.tif:1347-0506;104.596;36.532;12.519;10.638;131.645;0.985;14.463;505;1345;120.964;12.202;1.177;0.85;0.829;0;0.843670055;11.54018039;0.992405177
314;210902_#4_100_30_1um_i002.tif:0782-1486;738.327;155.449;47.169;19.93;116.926;0.384;52.56;1485;772;109.29;30.455;2.367;0.423;0.615;0;0.579433029;30.66051424;0.619642753
315;210902_#6_100_10_1um_i004.tif:1552-0339;159.971;49.962;18.627;10.934;28.174;0.805;21.338;336;1555;35.538;12.402;1.704;0.587;0.852;0;0.581216609;14.27169938;0.897399342
315;210902_#4_100_30_1um_i002.tif:1002-2019;3365.541;646.599;114.877;37.302;172.809;0.101;161.593;1988;992;162.121;63.588;3.08;0.325;0.413;0;0.393507144;65.46097991;0.318051425
316;210902_#6_100_10_1um_i004.tif:1660-0817;2430.327;395.087;75.633;40.913;70.356;0.196;106.169;804;1679;52.595;61.385;1.849;0.541;0.551;0;0.578181955;55.62722753;0.442328119
316;210902_#4_100_30_1um_i002.tif:1029-2081;6509.585;913.097;121.688;68.111;33.728;0.098;180.938;2068;1060;56.746;115.728;1.787;0.56;0.446;0;0.639600305;91.03988709;0.31323095
317;210902_#6_100_10_1um_i004.tif:0548-0840;1285.92;174.691;50.47;32.441;69.744;0.53;56.618;834;559;61.189;37.299;1.556;0.643;0.805;0;0.658783426;40.46336856;0.727681572
317;210902_#4_100_30_1um_i002.tif:0876-2125;2805.643;665.841;133.623;26.734;34.865;0.08;187.534;2096;901;37.476;55.241;4.998;0.2;0.365;0;0.294565252;59.76834962;0.28200097
318;210902_#6_100_10_1um_i004.tif:0030-0529;953.673;213.278;54.554;22.258;8.799;0.263;67.704;516;30;8.427;32.164;2.451;0.408;0.596;0;0.475067943;34.84615009;0.513285051
318;210902_#4_100_30_1um_i002.tif:0913-1980;1415.127;294.811;77.093;23.372;46.081;0.205;90.29;1966;925;37.185;35.079;3.299;0.303;0.579;0;0.388514786;42.44756362;0.452333712
319;210902_#6_100_10_1um_i004.tif:0043-0260;326.095;87.345;28.749;14.442;169.061;0.537;31.376;254;46;18.435;16.435;1.991;0.502;0.757;0;0.523808006;20.3763846;0.732890265
319;210902_#4_100_30_1um_i002.tif:0946-2144;1630.473;414.578;73.236;28.347;3.353;0.119;92.612;2126;944;172.304;44.449;2.584;0.387;0.522;0;0.479948603;45.56295316;0.345267329
320;210902_#6_100_10_1um_i004.tif:0432-0695;141.513;52.017;15.693;11.482;101.686;0.657;18.891;694;429;113.199;12.402;1.367;0.732;0.807;0;0.656503097;13.42311244;0.81069557
320;210902_#4_100_30_1um_i002.tif:0914-2091;566.051;113.956;37.455;19.242;134.18;0.548;40.683;2085;908;127.569;22.801;1.947;0.514;0.793;0;0.560455227;26.84620118;0.740108712
321;210902_#6_100_10_1um_i004.tif:0426-0516;492.218;148.433;45.319;13.829;136.532;0.281;54.627;508;419;140.528;22.203;3.277;0.305;0.615;0;0.406447361;25.03420504;0.529850334
321;210902_#4_100_30_1um_i002.tif:0853-2063;1931.956;304.982;85.28;28.844;32.902;0.261;93.372;2047;866;39.611;46.368;2.957;0.338;0.605;0;0.496594268;49.59680209;0.510892279
322;210902_#6_100_10_1um_i004.tif:0484-0647;535.287;109.244;40.143;16.978;0.062;0.564;41.58;639;482;162.646;21.404;2.364;0.423;0.773;0;0.514766715;26.10648533;0.750759241
322;210902_#4_100_30_1um_i002.tif:0590-2151;2737.963;479.776;79.967;43.594;10.929;0.149;107.121;2130;587;174.685;65.498;1.834;0.545;0.496;0;0.6114394;59.04305856;0.386616336
323;210902_#6_100_10_1um_i004.tif:0665-0284;609.12;200.45;33.206;23.356;49.114;0.191;50.226;279;674;57.095;35.639;1.422;0.703;0.503;0;0.709572731;27.84880018;0.436465882
323;210902_#4_100_30_1um_i002.tif:0572-2305;1452.043;310.295;66.94;27.619;109.313;0.19;83.345;2296;559;126.529;38.495;2.424;0.413;0.549;0;0.461875337;42.99765771;0.435331299
324;210902_#6_100_10_1um_i004.tif:1021-0572;529.134;147.582;35.892;18.771;133.553;0.305;45.603;564;1015;135;26.134;1.912;0.523;0.543;0;0.573076333;25.95600765;0.552528106
324;210902_#4_100_30_1um_i002.tif:1047-1809;1316.683;297.467;45.316;36.995;115.613;0.187;67.476;1798;1038;143.973;50.362;1.225;0.816;0.536;0;0.746369079;40.94450956;0.432420976
325;210902_#6_100_10_1um_i004.tif:1340-1077;590.662;126.534;33.152;22.685;142.797;0.464;37.781;1071;1337;156.801;28.063;1.461;0.684;0.727;0;0.742780763;27.42360691;0.680874721
325;210902_#4_100_30_1um_i002.tif:1199-1805;1993.483;372.836;71.779;35.361;95.327;0.18;85.639;1807;1182;100.008;48.87;2.03;0.493;0.618;0;0.570651222;50.38036708;0.424515313
326;210902_#6_100_10_1um_i004.tif:1695-1054;738.327;151.941;49.976;18.811;124.321;0.402;57.105;1047;1686;124.38;24.613;2.657;0.376;0.7;0;0.431013046;30.66051424;0.633949008
326;210902_#4_100_30_1um_i002.tif:1191-1708;510.676;131.744;47.952;13.56;171.363;0.37;49.423;1699;1189;162.474;17.03;3.536;0.283;0.751;0;0.344576412;25.4992721;0.608060526
327;210902_#6_100_10_1um_i004.tif:1496-1013;1052.116;360.859;59.127;22.656;18.089;0.102;83.677;997;1497;11.976;37.632;2.61;0.383;0.501;0;0.449729316;36.60048766;0.3186392
327;210902_#4_100_30_1um_i002.tif:1261-1720;3353.236;488.743;91.044;46.895;23.664;0.176;116.608;1701;1276;38.089;72.863;1.941;0.515;0.56;0;0.624854212;65.34120199;0.420006916
328;210902_#6_100_10_1um_i004.tif:1563-1417;1039.811;150.737;48.837;27.109;169.43;0.575;55.075;1406;1561;172.235;31.571;1.801;0.555;0.818;0;0.573236496;36.38582807;0.758337038
328;210902_#4_100_30_1um_i002.tif:1304-1895;2344.189;391.227;87.342;34.173;35.208;0.192;117.842;1880;1322;49.268;55.069;2.556;0.391;0.527;0;0.467312164;54.63253733;0.438704839
329;210902_#6_100_10_1um_i004.tif:1079-1909;529.134;104.885;39.956;16.862;60.866;0.604;42.241;1904;1086;49.764;20.419;2.37;0.422;0.785;0;0.483392912;25.95600765;0.77745343
329;210902_#4_100_30_1um_i002.tif:1550-1338;1827.36;403.203;95.227;24.433;33.448;0.141;110.847;1319;1564;40.462;44.372;3.898;0.257;0.479;0;0.400299512;48.23553684;0.375831549
330;210902_#6_100_10_1um_i004.tif:1082-1931;676.8;167.425;46.801;18.413;150.428;0.303;55.075;1923;1076;144.162;25.889;2.542;0.393;0.613;0;0.470068089;29.35521289;0.550826467
330;210902_#4_100_30_1um_i002.tif:1461-2216;12108.566;1960.699;172.119;89.573;44.791;0.04;267.35;2177;1509;62.959;151.586;1.922;0.52;0.405;0;0.566994576;124.1656356;0.198948359
331;210902_#6_100_10_1um_i004.tif:1203-1939;1193.629;225.254;57.489;26.436;72.809;0.296;64.492;1936;1215;67.38;34.808;2.175;0.46;0.676;0;0.539725857;38.98429998;0.543709725
331;210902_#4_100_30_1um_i002.tif:1368-1240;2098.08;384.813;116.106;23.008;121.845;0.178;128.051;1228;1346;121.535;43.895;5.046;0.198;0.531;0;0.342793106;51.68518573;0.421955079
332;210902_#6_100_10_1um_i004.tif:1213-1974;707.564;123.276;41.826;21.539;33.569;0.585;45.738;1968;1220;40.601;27.393;1.942;0.515;0.804;0;0.59891119;30.01497069;0.764908104
332;210902_#4_100_30_1um_i002.tif:0947-0192;6115.81;795.634;142.251;54.74;170.96;0.121;193.302;154;948;171.142;92.754;2.599;0.385;0.528;0;0.479839836;88.24336315;0.348432447
333;210902_#6_100_10_1um_i004.tif:1242-1982;479.913;114.557;37.679;16.217;47.607;0.46;42.386;1979;1250;69.444;20.768;2.323;0.43;0.647;0;0.489973104;24.71930844;0.67789832
333;210902_#4_100_30_1um_i002.tif:0351-1066;4319.214;770.477;138.144;39.809;70.157;0.091;183.118;1046;385;65.171;61.967;3.47;0.288;0.466;0;0.338399284;74.15789956;0.302376207
334;210902_#6_100_10_1um_i004.tif:1215-2050;627.578;144.925;32.822;24.345;157.193;0.375;43.884;2044;1210;137.291;31.382;1.348;0.742;0.687;0;0.71511257;28.26759854;0.612767155
334;210902_#4_100_30_1um_i002.tif:0193-0667;418.385;128.838;29.44;18.094;100.248;0.317;37.536;662;186;97.595;24.805;1.627;0.615;0.591;0;0.660832268;23.08038836;0.562793419
335;210902_#6_100_10_1um_i004.tif:1169-2094;301.484;80.931;21.804;17.605;10.988;0.578;26.715;2089;1166;158.199;22.015;1.239;0.807;0.726;0;0.824068875;19.59237992;0.760540174
335;210902_#4_100_30_1um_i002.tif:0221-0667;473.76;127.987;30.582;19.724;47.331;0.363;40.379;662;228;42.51;27.301;1.55;0.645;0.65;0;0.676118775;24.5603332;0.602862496
336;210902_#6_100_10_1um_i004.tif:1329-2200;609.12;123.276;33.739;22.987;25.125;0.504;43.954;2192;1329;16.39;28.632;1.468;0.681;0.702;0;0.65140829;27.84880018;0.709704939
336;210902_#4_100_30_1um_i002.tif:0491-0297;566.051;159.558;47.791;15.081;37.036;0.279;56.563;288;499;37.875;22.536;3.169;0.316;0.53;0;0.398422997;26.84620118;0.528584141
337;210902_#6_100_10_1um_i004.tif:1444-2243;1175.171;234.325;51.169;29.242;62.545;0.269;63.531;2232;1451;38.66;44.037;1.75;0.571;0.562;0;0.693157671;38.68170354;0.518605167
337;210902_#4_100_30_1um_i002.tif:1580-0688;9967.417;1193.025;162.06;78.31;177.256;0.088;226.063;643;1577;3.145;120.736;2.069;0.483;0.537;0;0.534081207;112.6539368;0.296651604
338;210902_#6_100_10_1um_i004.tif:1644-2272;707.564;144.925;41.068;21.937;127.879;0.423;46.801;2268;1636;122.005;31.646;1.872;0.534;0.68;0;0.676182133;30.01497069;0.650645585
338;210902_#4_100_30_1um_i002.tif:1693-0306;2621.061;453.767;112.765;29.595;47.591;0.16;132.118;288;1713;50.332;44.377;3.81;0.262;0.55;0;0.335889129;57.76883688;0.3999545
339;210902_#6_100_10_1um_i004.tif:1685-2097;2178.065;343.32;84.382;32.865;55.272;0.232;94.453;2086;1701;60.068;53.707;2.568;0.389;0.594;0;0.568610843;52.6611668;0.481882602
339;210902_#4_100_30_1um_i002.tif:0704-1984;3993.119;737.203;120.611;42.154;124.549;0.092;176.967;1966;673;121.239;77.572;2.861;0.349;0.422;0;0.438341612;71.30355543;0.303860302
340;210902_#6_100_10_1um_i004.tif:0324-1932;1242.851;246.302;74.064;21.366;144.466;0.257;89.435;1917;314;146.31;29.817;3.466;0.288;0.661;0;0.333392967;39.77998292;0.507395401
340;210902_#4_100_30_1um_i002.tif:0843-1343;4768.363;620.591;133.248;45.564;164.408;0.156;160.848;1312;838;162.962;63.504;2.924;0.342;0.68;0;0.39480752;77.91834402;0.394442873
341;210902_#6_100_10_1um_i004.tif:0459-1647;1507.418;267.349;60.029;31.973;123.06;0.265;76.413;1635;448;144.246;46.25;1.877;0.533;0.599;0;0.605263502;43.80986428;0.514805545
341;210902_#4_100_30_1um_i002.tif:1124-0882;10551.926;1675.81;162.471;82.693;49.165;0.047;218.507;857;1163;50.528;130.473;1.965;0.509;0.442;0;0.597111305;115.9100059;0.217293144
342;210902_#6_100_10_1um_i004.tif:0276-1540;947.52;181.457;40.307;29.93;8.649;0.362;49.236;1532;283;40.914;34.727;1.347;0.743;0.737;0;0.705317248;34.7335563;0.601347346
342;210902_#4_100_30_1um_i002.tif:1160-0642;1605.862;275.818;77.95;26.23;39.002;0.265;91.811;629;1171;38.418;37.138;2.972;0.336;0.63;0;0.404504907;45.21777307;0.515034638
343;210902_#6_100_10_1um_i004.tif:0335-1313;369.164;72.462;26.514;17.728;58.421;0.883;28.927;1311;340;59.036;19.294;1.496;0.669;0.882;0;0.666989318;21.68027221;0.939948993
343;210902_#4_100_30_1um_i002.tif:0579-1039;824.465;219.692;46.224;22.71;154.243;0.215;62.751;1027;573;161.565;31.599;2.035;0.491;0.554;0;0.503561696;32.3997136;0.46331547
344;210902_#6_100_10_1um_i004.tif:0527-1511;2553.381;647.201;80.706;40.283;165.773;0.077;116.767;1488;516;167.735;67.602;2.003;0.499;0.41;0;0.578947819;57.01811696;0.2767729
344;210902_#4_100_30_1um_i002.tif:0543-1087;4491.49;622.044;122.137;46.822;70.304;0.146;150.677;1076;572;69.775;66.197;2.609;0.383;0.662;0;0.439330488;75.62236893;0.381925842
345;210902_#6_100_10_1um_i004.tif:0535-1454;406.08;96.416;34.791;14.861;68.171;0.549;37.781;1453;542;66.801;18.74;2.341;0.427;0.742;0;0.496016516;22.73845013;0.740903459
345;210902_#4_100_30_1um_i002.tif:0498-1143;929.062;173.839;61.82;19.135;47.401;0.386;67.019;1135;509;51.009;28.547;3.231;0.31;0.688;0;0.425953834;34.39358193;0.621555717
346;210902_#6_100_10_1um_i004.tif:0766-1469;1464.349;261.185;67.195;27.747;139.327;0.27;79.103;1460;754;131.186;37.485;2.422;0.413;0.687;0;0.473875833;43.17947492;0.519372557
346;210902_#4_100_30_1um_i002.tif:0540-1724;1599.709;352.39;77.016;26.446;115.798;0.162;103.379;1713;523;120.256;41.69;2.912;0.343;0.519;0;0.403273392;45.13106202;0.402348003
347;210902_#6_100_10_1um_i004.tif:0905-1542;1464.349;268.802;51.571;36.154;51.987;0.255;70.246;1531;913;42.138;47.004;1.426;0.701;0.632;0;0.669134186;43.17947492;0.504655178
347;210902_#4_100_30_1um_i002.tif:0507-1926;2701.047;475.666;77.775;44.219;14.329;0.15;101.971;1906;501;175.815;64.861;1.759;0.569;0.548;0;0.636073001;58.64366848;0.387319081
348;210902_#6_100_10_1um_i004.tif:1053-1383;1045.963;239.639;47.485;28.046;3.989;0.229;68.247;1370;1060;19.093;38.527;1.693;0.591;0.564;0;0.564522983;36.49330697;0.478415888
348;210902_#4_100_30_1um_i002.tif:0848-1667;1205.934;292.756;52.914;29.018;26.55;0.177;73.75;1655;859;47.726;43.16;1.823;0.548;0.583;0;0.585220339;39.18472735;0.420495059
349;210902_#6_100_10_1um_i004.tif:1187-1786;529.134;153.996;49.932;13.493;129.793;0.28;54.401;1779;1179;133.152;22.192;3.701;0.27;0.593;0;0.407933678;25.95600765;0.529515072
349;210902_#4_100_30_1um_i002.tif:0949-1711;510.676;125.932;34.41;18.896;55.118;0.405;42.676;1706;956;54.462;26.623;1.821;0.549;0.692;0;0.623840097;25.4992721;0.636123669
350;210902_#6_100_10_1um_i004.tif:1264-1705;719.869;189.926;49.299;18.592;129.854;0.251;55.075;1697;1255;125.838;27.117;2.652;0.377;0.622;0;0.492364957;30.27483572;0.500780312
350;210902_#4_100_30_1um_i002.tif:0950-1763;701.411;194.887;39.148;22.813;140.458;0.232;49.609;1756;942;126.87;33.654;1.716;0.583;0.583;0;0.67838497;29.88418013;0.481735163
351;210902_#6_100_10_1um_i004.tif:1557-1508;1138.254;225.005;54.822;26.436;64.64;0.283;65.674;1503;1570;79.114;33.69;2.074;0.482;0.675;0;0.512988397;38.06927902;0.531535598
351;210902_#4_100_30_1um_i002.tif:0730-0859;990.589;208.918;46.559;27.089;129.42;0.285;64.683;853;719;122.471;38.231;1.719;0.582;0.636;0;0.591051745;35.5141815;0.534042503
352;210902_#6_100_10_1um_i004.tif:1452-1570;430.691;116.862;32.14;17.062;132.594;0.396;39.22;1564;1449;145.305;24.405;1.884;0.531;0.673;0;0.622259052;23.41736135;0.629527224
352;210902_#4_100_30_1um_i002.tif:0697-1034;621.425;116.862;34.196;23.138;51.871;0.572;42.241;1027;701;40.236;27.809;1.478;0.677;0.786;0;0.658341422;28.12868436;0.756181378
353;210902_#6_100_10_1um_i004.tif:1461-1512;719.869;232.872;38.336;23.909;29.394;0.167;55.465;1501;1468;10.305;37.207;1.603;0.624;0.479;0;0.670819436;30.27483572;0.408426953
353;210902_#4_100_30_1um_i002.tif:0832-1122;1624.32;323.476;61.604;33.572;55.687;0.195;89.606;1109;847;48.366;49.609;1.835;0.545;0.505;0;0.553634801;45.47690026;0.441670775
354;210902_#6_100_10_1um_i004.tif:1479-1329;252.262;65.447;22.658;14.175;60.429;0.74;26.368;1326;1484;48.814;17.363;1.598;0.626;0.863;0;0.658487561;17.92177318;0.860282534
354;210902_#4_100_30_1um_i002.tif:0901-1008;1956.567;386.016;52.999;47.004;48.755;0.165;82.455;992;898;164.291;58.642;1.128;0.887;0.579;0;0.711200049;49.91170681;0.406206612
355;210902_#6_100_10_1um_i004.tif:1575-1838;682.953;117.463;39.184;22.192;172.164;0.622;43.954;1830;1574;163.61;27.285;1.766;0.566;0.81;0;0.620762615;29.48834968;0.788677138
355;210902_#4_100_30_1um_i002.tif:1050-1452;7309.439;1105.929;126.477;73.584;165.265;0.075;183.705;1415;1045;2.322;115.306;1.719;0.582;0.428;0;0.627669361;96.47106709;0.274043628
356;210902_#6_100_10_1um_i004.tif:1526-1825;609.12;135.854;32.451;23.899;100.281;0.415;39.996;1820;1520;119.745;31.376;1.358;0.736;0.683;0;0.784478448;27.84880018;0.64399713
356;210902_#4_100_30_1um_i002.tif:0830-1288;135.36;42.946;15.973;10.79;34.959;0.922;17.887;1285;832;33.69;12.402;1.48;0.676;0.863;0;0.693352714;13.1280503;0.960345233
357;210902_#6_100_10_1um_i004.tif:1524-1750;307.636;83.235;28.953;13.528;1.221;0.558;32.246;1744;1521;157.38;14.883;2.14;0.467;0.758;0;0.461545618;19.7912688;0.74699471
357;210902_#4_100_30_1um_i002.tif:0991-1208;2214.982;514.253;73.657;38.288;87.484;0.105;117.24;1207;1015;83.928;67.007;1.924;0.52;0.434;0;0.571537018;53.10558043;0.324424167
358;210902_#6_100_10_1um_i004.tif:1667-1849;1470.502;314.405;64.412;29.067;113.967;0.187;77.888;1839;1656;127.235;41.213;2.216;0.451;0.592;0;0.529131574;43.27009703;0.432362777
358;210902_#4_100_30_1um_i002.tif:0550-2372;10490.399;942.51;202.653;65.91;133.38;0.148;220.357;2335;527;148.815;95.842;3.075;0.325;0.61;0;0.434939666;115.5715832;0.385225448
359;210902_#6_100_10_1um_i004.tif:1509-1186;455.302;103.432;39.292;14.754;48.217;0.535;42.095;1180;1515;45;20.008;2.663;0.375;0.744;0;0.475305856;24.07713669;0.731307098
359;210902_#4_100_30_1um_i002.tif:0232-2347;4676.072;664.741;136.566;43.596;2.03;0.133;155.064;2316;229;172.648;64.003;3.133;0.319;0.612;0;0.412752154;77.16061032;0.364664142
360;210902_#6_100_10_1um_i004.tif:1448-1331;1089.033;235.529;39.212;35.362;77.381;0.247;57.907;1322;1455;46.736;40.288;1.109;0.902;0.621;0;0.695736267;37.2370767;0.496685022
360;210902_#4_100_30_1um_i002.tif:0158-2333;2873.323;476.268;97.738;37.431;89.808;0.159;123.352;2330;134;105.154;57.051;2.611;0.383;0.549;0;0.462505675;60.48494415;0.398975065
361;210902_#6_100_10_1um_i004.tif:1588-1186;381.469;105.487;33.06;14.692;144.633;0.431;39.22;1180;1584;145.305;19.967;2.25;0.444;0.721;0;0.509102499;22.03863462;0.656350191
361;210902_#4_100_30_1um_i002.tif:0235-0047;2171.912;427.759;82.039;33.708;140.802;0.149;108.717;29;225;145.222;50.171;2.434;0.411;0.543;0;0.461482565;52.5867307;0.386213
362;210902_#4_100_30_1um_i002.tif:0668-0395;3796.232;603.902;84.048;57.509;134.224;0.131;127.062;373;656;141.34;88.708;1.461;0.684;0.557;0;0.698147361;69.52346872;0.361671958
363;210902_#4_100_30_1um_i002.tif:1635-0534;1618.167;235.778;74.052;27.822;124.85;0.366;84.664;527;1620;121.827;36.462;2.662;0.376;0.664;0;0.430667108;45.39068422;0.604802145
364;210902_#4_100_30_1um_i002.tif:1707-0174;984.436;172.386;50.037;25.05;86.165;0.416;58.803;170;1718;62.354;32.437;1.997;0.501;0.716;0;0.551621516;35.4037123;0.645203453
365;210902_#4_100_30_1um_i002.tif:1217-0360;953.673;192.832;46.613;26.049;22.198;0.322;59.995;348;1223;7.125;34.662;1.789;0.559;0.626;0;0.577748146;34.84615009;0.567708726
366;210902_#4_100_30_1um_i002.tif:0359-0677;4085.41;747.125;92.649;56.144;55.694;0.092;147.499;665;386;70.346;107.039;1.65;0.606;0.352;0;0.725693056;72.12285053;0.303270025
367;210902_#4_100_30_1um_i002.tif:0837-0906;639.884;163.917;46.596;17.485;7.254;0.299;54.908;896;841;18.435;25.669;2.665;0.375;0.567;0;0.467491076;28.54339876;0.547055716
368;210902_#6_100_10_1um_i004.tif:0090-2309;11696.333;1632.658;191.58;77.734;122.93;0.055;281.181;2265;46;131.424;132.512;2.465;0.406;0.399;0;0.471269396;122.03374;0.234819724
368;210902_#4_100_30_1um_i002.tif:1024-1118;2294.967;390.977;66.614;43.865;25.364;0.189;90.154;1100;1024;7.907;64.624;1.519;0.658;0.585;0;0.716817889;54.05592232;0.434352119
369;210902_#6_100_10_1um_i004.tif:0265-2319;1162.865;181.706;46.429;31.89;140.255;0.443;58.119;2311;259;140.194;36.607;1.456;0.687;0.775;0;0.629862868;38.47863957;0.665273637
370;210902_#6_100_10_1um_i004.tif:0270-2360;1544.334;239.888;55.34;35.531;14.062;0.337;61.263;2349;274;31.759;43.485;1.558;0.642;0.747;0;0.70980853;44.34306168;0.580720323
371;210902_#6_100_10_1um_i004.tif:0326-2474;2301.12;489.698;71.736;40.842;93.883;0.121;95.426;2473;307;98.973;55.668;1.756;0.569;0.567;0;0.583363025;54.12833806;0.347253183
372;210902_#6_100_10_1um_i004.tif:0174-2408;5789.716;982.8;140.713;52.388;1.806;0.075;216.313;2365;185;176.055;94.258;2.686;0.372;0.363;0;0.435748198;85.8585777;0.274453273
373;210902_#6_100_10_1um_i004.tif:0208-2368;922.909;267.349;37.087;31.685;60.857;0.162;49.918;2359;211;26.565;39.688;1.17;0.854;0.584;0;0.795063905;34.27950167;0.402815162
374;210902_#6_100_10_1um_i004.tif:0242-2408;1273.614;243.396;42.928;37.775;162.387;0.27;62.21;2397;237;156.501;48.293;1.136;0.88;0.634;0;0.776289986;40.26928991;0.51976904
375;210902_#6_100_10_1um_i004.tif:0127-2544;990.589;184.363;46.865;26.912;101.729;0.366;59.738;2538;139;85.236;35.832;1.741;0.574;0.672;0;0.599819211;35.5141815;0.605170732
376;210902_#6_100_10_1um_i004.tif:0042-1977;1458.196;324.327;60.831;30.521;81.769;0.174;79.877;1968;57;53.842;43.633;1.993;0.502;0.51;0;0.546252363;43.08866221;0.417378216
